,percent_NH_WHITE,percent_NH_BLACK,percent_NH_AMIN,percent_NH_ASIAN,percent_NH_NHPI,percent_NH_OTHER,percent_NH_2MORE,percent_HISP,percent_H_WHITE,percent_H_BLACK,percent_H_AMIN,percent_H_ASIAN,percent_H_NHPI,percent_H_OTHER,percent_H_2MORE,percent_LESS_10K,percent_10K_15K,percent_15K_20K,percent_20K_25K,percent_25K_30K,percent_30K_35K,percent_35K_40K,percent_40K_45K,percent_45K_50K,percent_50K_60K,percent_60K_75K,percent_75K_100K,percent_100K_125K,percent_125K_150K,percent_150K_200K,percent_200K_MORE,vote_GARCIA_2015
0,0.83840671,0.017078014,0,0.035849493,0,0.00045466,0.012743093,0.095468031,0.062248917,0.001820499,0.000455125,0,0,0.02548215,0.00546134,0.061163139,0.110266906,0.060037851,0.082955374,0.078440445,0.050791999,0.032539315,0.066811047,0.034879262,0.080623334,0.175241418,0.131746432,0.071621824,0.046827739,0.021896823,0.023565584,0.467532468
1,0.033927058,0.901611535,0.001696353,0.002544529,1.66E-10,0.001696353,0.032230703,0.026293469,0.000848176,0.009329941,0.000848176,0,0,0.005937235,0.009329941,0.31241469,0.178263689,0.133859595,0.087451125,0.126610205,0.039830341,0.05419197,0.069318743,0.031902059,0.197470017,0.138643652,0.122079039,0.100802809,0.041898324,0.055152002,0.14192362,0.171779141
2,0.380173245,0.281520696,0.001924928,0.091915302,0,0.001924928,0.025505293,0.217035608,0.108758422,0.006256016,0.009143407,0.000481232,0,0.07940327,0.012993262,0.128484739,0.098613003,0.072575154,0.044867594,0.068222038,0.045750327,0.032835621,0.03846202,0.016640892,0.050787501,0.03227553,0.010053352,0.023738953,0.008180943,0.020295474,0.018370545,0.311188811
3,0.01013715,0.95110316,0.001192606,0.001788909,0,0.000596303,0.016696482,0.018485391,0.003577818,0.008944544,0,0.000596303,0,0.004770423,0.000596303,0.149871649,0.106042833,0.052108182,0.061858865,0.009427748,0.019254618,0.023233254,0.016469515,0.011496398,0.026528947,0.029885647,0.013400384,0.02303292,0.006360799,2.48E-10,0.000750003,0.351111111
4,0.573498965,0.243616288,0.002760524,0.119392684,0.000690131,0.002070393,0.011042098,0.046928916,0.028295376,0.005521049,0,0,0,0.011042098,0.002070393,0.218115199,0.12189516,0.025534845,0.008971705,3.39E-10,0.037138063,0.009661837,0.012981601,5.81E-10,0.020176629,0.046670894,0.040220488,0.090562474,0.042268337,0.036317051,0.021682151,0.61971831
5,0.007889546,0.950032873,0,0.018408941,0,0.000657462,0.006574622,0.016436555,0.000657462,0.015121631,0,0.000657462,0,0,0,0.1151005,0.110164129,0.022628422,0.020833278,0.048607526,0.002198411,0.009502698,0.00349037,0.004501065,0.001478659,0.009014998,0.016860742,0.001503554,0.002490571,0,8.62E-11,0.480225989
6,0.036231884,0.236111113,0.002415459,0.001207729,0,0,0.015700483,0.708333332,0.310386472,0.016304348,0.003019324,0,0,0.358695652,0.019927536,0.169266051,0.100294024,0.06052479,0.051923221,0.03885841,0.023669738,0.021507464,0.017668584,0.005738752,0.022799592,0.060244951,0.04750657,0.037438003,0.000288886,0.009543911,0.001506933,0.250859107
7,0.004251299,0.974019839,0.000944733,0.000472367,0.000472367,0,0.003778932,0.016060463,0.002834199,0.002834199,0,0,0,0.008974965,0.0014171,0.034955128,0.076995742,0.006613132,0.03259329,0.00944733,0.03778932,0.026924891,0.026452525,0.007085498,0.010392064,0.04723665,0.010392064,0.015115728,0.01747756,0.015115728,3.32E-10,0.482625483
8,0.016658501,0.951494365,0.000979912,0.003429691,0.000979912,0.002449779,0.013718766,0.010289074,0.004409603,0.002939735,0,0,0,0.000979912,0.001959824,0.162612036,0.079675135,0.03578847,0.036338917,0.020557532,0.022206107,0.025438686,0.031190289,0.004241786,0.028505694,0.015948457,0.015856748,0.00335457,0.001624542,0.004872016,4.35E-10,0.225806452
9,0.025232777,0.589876914,0.002417528,0.001611686,0,0,0.005640899,0.375220195,0.170536129,0.013699327,0,0,0,0.177285411,0.013699327,0.138962696,0.128931273,0.071409999,0.044933147,0.012122625,0.01866746,0.016647023,0.016653028,0.012183817,0.029635898,0.036257504,0.016763399,0.005528611,8.44E-11,0.012306198,1.32E-10,0.22754491
